expand href,column-occurred,column-city,column-state,column-country,column-shape,column-summary,column-reported,column-hasimage,column-explanation
https://nuforc.org/sighting/?id=175603,04/30/2023 14:00,Alma,CO,USA,Rectangle,"Daytime, low flying object",05/02/2023,,
https://nuforc.org/sighting/?id=175539,04/28/2023 20:56,Saugerties (Malden),NY,USA,Disk,I took off when the craft looked like it was turning around!,04/27/2023,Y,
https://nuforc.org/sighting/?id=182107,04/27/2023 21:00,Las Vegas,NV,USA,Light,"6 Golden Lights flashing Red, Blue, Green, Hovering over NW Desert near Golf Coarse / Creech AFB",06/30/2024,Y,
https://nuforc.org/sighting/?id=175523,04/27/2023 20:30,Portland,OR,USA,Light,Portland lights,04/27/2023,Y,
https://nuforc.org/sighting/?id=189727,04/27/2023 13:30,Boonsboro,MD,USA,Disk,"While doing classwork outside, i watched a civilian twin-engine aircraft fly underneath a large disk a couple of hundred more feet high",05/19/2025,Y,
https://nuforc.org/sighting/?id=175531,04/24/2023 21:30,Londonn,,United Kingdom,Triangle,I saw a matte black long flat pyramid that seemed to hover in the sky. I ducked under the window and when I looked up it moved away,04/27/2023,,
https://nuforc.org/sighting/?id=176954,04/21/2023 22:00,Los Angeles,CA,USA,Flash,"UAP light show in Venice, CA",07/21/2023,Y,
https://nuforc.org/sighting/?id=175443,04/21/2023 21:25,Granbury,TX,USA,Oval,We were walking ABS suddenly saw 3 things in the sky,04/21/2023,Y,Chinese Lantern?
https://nuforc.org/sighting/?id=178357,04/20/2023 14:00,Ware,MA,USA,Other,Driving along when suddenly a passenger in the backseat noticed an odd object in the sky on a clear day,09/15/2023,,
https://nuforc.org/sighting/?id=175432,04/19/2023 04:00,Encino,CA,USA,Changing,"Witnessed surreal UFO in Encino, CA. Massive object spinning with vibrant lights. Video evidence available for further investigation.",04/20/2023,Y,
https://nuforc.org/sighting/?id=175290,04/19/2023 00:30,Texarkana,AR,USA,Circle,"The pilot of BYA584 at FL270 approximately 41 miles southwest of Texarkana, AR reported lights off to the north.",04/19/2023,,
https://nuforc.org/sighting/?id=175472,04/18/2023 23:44,Vernon,TX,USA,Triangle,Object traveling south-west towards rural area of the county. Dark-gray triangle shaped craft. Massive area,04/23/2023,,
https://nuforc.org/sighting/?id=175312,04/17/2023 00:33,,-,USA,Light,Two bright lights reported by an aircraft at the SDZ 170 radial 014 mile fix,04/16/2023,,
https://nuforc.org/sighting/?id=175778,04/15/2023 21:00,Newberg,OR,USA,Rectangle,Sighted a large rectangular craft hovering above our property on a clear moonless night and viewed it for about five minutes.,05/14/2023,,
https://nuforc.org/sighting/?id=175332,04/15/2023 02:23,Cottage grove,OR,USA,Formation,Two unknown lights behaving strangely,04/15/2023,Y,
https://nuforc.org/sighting/?id=175468,04/13/2023 14:20,Rehoboth,DE,USA,Disk,"An unusually fast, straight tracking object, at passenger flight altitude",04/23/2023,,
https://nuforc.org/sighting/?id=175475,04/13/2023 00:30,Estimated around Grand Junction,CO,USA,Formation,"What seemed to be crafts with bright lights rotating in circle formations descending to earth, then ascending later on.",04/23/2023,,
